time,mouseX,mouseY,mouseClickAmount,uuid,uuidType,fps,drawCalls,entities,pointAmount,linesAmount,polyAmount,pointsAmount,voronoiTime,delaunayTime,M
0.27062,243,165,0,0,-1,607.936,0,0,0,0,0,0,0,0,0
0.272382,243,165,0,0,-1,554.036,0,0,0,0,0,0,0,0,0
0.274105,243,165,0,0,-1,574.774,0,0,0,0,0,0,0,0,0
0.27577,243,165,0,0,-1,590.175,0,0,0,0,0,0,0,0,0
0.277592,243,165,0,0,-1,537.446,0,0,0,0,0,0,0,0,0
0.279326,243,165,0,0,-1,595.669,0,0,0,0,0,0,0,0,0
0.281077,243,165,0,0,-1,570.475,0,0,0,0,0,0,0,0,0
0.282803,243,165,0,0,-1,568.891,0,0,0,0,0,0,0,0,0
0.284509,243,165,0,0,-1,603.067,0,0,0,0,0,0,0,0,0
0.28624,243,165,0,0,-1,591.807,0,0,0,0,0,0,0,0,0
0.287966,243,165,0,0,-1,574.499,0,0,0,0,0,0,0,0,0
0.289786,243,165,0,0,-1,609.502,0,0,0,0,0,0,0,0,0
0.291564,243,165,0,0,-1,505.805,0,0,0,0,0,0,0,0,0
0.293393,243,165,0,0,-1,559.79,0,0,0,0,0,0,0,0,0
0.29521,243,165,0,0,-1,537.779,0,0,0,0,0,0,0,0,0
0.297028,243,165,0,0,-1,577.891,0,0,0,0,0,0,0,0,0
0.298706,243,165,0,0,-1,543.205,0,0,0,0,0,0,0,0,0
0.300467,243,165,0,0,-1,623.432,0,0,0,0,0,0,0,0,0
0.30223,243,165,0,0,-1,543.001,0,0,0,0,0,0,0,0,0
0.303979,243,165,0,0,-1,569.522,0,0,0,0,0,0,0,0,0
0.305645,243,165,0,0,-1,615.786,0,0,0,0,0,0,0,0,0
0.307462,243,165,0,0,-1,534.165,0,0,0,0,0,0,0,0,0
0.30919,243,165,0,0,-1,596.277,0,0,0,0,0,0,0,0,0
0.310952,243,165,0,0,-1,552.473,0,0,0,0,0,0,0,0,0
0.312629,243,165,0,0,-1,614.79,0,0,0,0,0,0,0,0,0
0.314438,243,165,0,0,-1,556.177,0,0,0,0,0,0,0,0,0
0.31615,243,165,0,0,-1,555.865,0,0,0,0,0,0,0,0,0
0.317811,243,165,0,0,-1,606.782,0,0,0,0,0,0,0,0,0
0.319616,243,165,0,0,-1,590.37,0,0,0,0,0,0,0,0,0
0.321334,243,165,0,0,-1,581.199,0,0,0,0,0,0,0,0,0
0.323149,243,165,0,0,-1,546.155,0,0,0,0,0,0,0,0,0
0.324821,243,165,0,0,-1,571.842,0,0,0,0,0,0,0,0,0
0.326578,243,165,0,0,-1,570.252,0,0,0,0,0,0,0,0,0
0.328259,243,165,0,0,-1,624.311,0,0,0,0,0,0,0,0,0
0.33004,243,165,0,0,-1,565.556,0,0,0,0,0,0,0,0,0
0.331683,243,165,0,0,-1,579,0,0,0,0,0,0,0,0,0
0.333452,243,165,0,0,-1,593.616,0,0,0,0,0,0,0,0,0
0.335173,243,165,0,0,-1,582.28,0,0,0,0,0,0,0,0,0
0.336774,243,165,0,0,-1,584.753,0,0,0,0,0,0,0,0,0
0.338586,243,165,0,0,-1,589.511,0,0,0,0,0,0,0,0,0
0.340331,243,165,0,0,-1,578.636,0,0,0,0,0,0,0,0,0
0.341988,243,165,0,0,-1,568.698,0,0,0,0,0,0,0,0,0
0.343797,243,165,0,0,-1,568.733,0,0,0,0,0,0,0,0,0
0.345479,243,165,0,0,-1,585.178,0,0,0,0,0,0,0,0,0
0.347127,243,165,0,0,-1,590.953,0,0,0,0,0,0,0,0,0
0.348905,243,165,0,0,-1,579.969,0,0,0,0,0,0,0,0,0
0.350588,243,165,0,0,-1,588.523,0,0,0,0,0,0,0,0,0
0.352279,243,165,0,0,-1,609.879,0,0,0,0,0,0,0,0,0
0.354026,243,165,0,0,-1,566.468,0,0,0,0,0,0,0,0,0
0.355711,243,165,0,0,-1,584.36,0,0,0,0,0,0,0,0,0
0.357371,243,165,0,0,-1,596.872,0,0,0,0,0,0,0,0,0
0.359174,243,165,0,0,-1,560.293,0,0,0,0,0,0,0,0,0
0.361083,243,165,0,0,-1,520.334,0,0,0,0,0,0,0,0,0
0.363058,243,165,0,0,-1,531.122,0,0,0,0,0,0,0,0,0
0.364795,243,165,0,0,-1,551.947,0,0,0,0,0,0,0,0,0
0.366512,243,165,0,0,-1,603.23,0,0,0,0,0,0,0,0,0
0.368203,243,165,0,0,-1,569.63,0,0,0,0,0,0,0,0,0
0.369991,243,165,0,0,-1,580.366,0,0,0,0,0,0,0,0,0
0.371603,243,165,0,0,-1,591.795,0,0,0,0,0,0,0,0,0
0.373386,243,165,0,0,-1,574.356,0,0,0,0,0,0,0,0,0
0.375119,243,165,0,0,-1,583.134,0,0,0,0,0,0,0,0,0
0.376766,243,165,0,0,-1,587.763,0,0,0,0,0,0,0,0,0
0.378598,243,165,0,0,-1,556.71,0,0,0,0,0,0,0,0,0
0.380276,243,165,0,0,-1,589.3,0,0,0,0,0,0,0,0,0
0.381966,243,165,0,0,-1,583.381,0,0,0,0,0,0,0,0,0
0.383739,243,165,0,0,-1,572.556,0,0,0,0,0,0,0,0,0
0.385346,243,165,0,0,-1,621.323,0,0,0,0,0,0,0,0,0
0.387175,243,165,0,0,-1,552.164,0,0,0,0,0,0,0,0,0
0.388783,243,165,0,0,-1,583.088,0,0,0,0,0,0,0,0,0
0.390571,243,165,0,0,-1,588.438,0,0,0,0,0,0,0,0,0
0.392209,243,165,0,0,-1,586.888,0,0,0,0,0,0,0,0,0
0.393987,243,165,0,0,-1,576.902,0,0,0,0,0,0,0,0,0
0.395651,243,165,0,0,-1,575.198,0,0,0,0,0,0,0,0,0
0.397466,243,165,0,0,-1,577.73,0,0,0,0,0,0,0,0,0
0.399157,243,165,0,0,-1,597.616,0,0,0,0,0,0,0,0,0
0.400939,243,165,0,0,-1,565.354,0,0,0,0,0,0,0,0,0
0.402682,243,165,0,0,-1,556.138,0,0,0,0,0,0,0,0,0
0.404463,243,165,0,0,-1,586.562,0,0,0,0,0,0,0,0,0
0.40618,243,165,0,0,-1,558.594,0,0,0,0,0,0,0,0,0
0.407943,243,165,0,0,-1,565.973,0,0,0,0,0,0,0,0,0
0.409524,243,165,0,0,-1,608.152,0,0,0,0,0,0,0,0,0
0.411416,243,165,0,0,-1,574.213,0,0,0,0,0,0,0,0,0
0.413105,243,165,0,0,-1,568.726,0,0,0,0,0,0,0,0,0
0.414736,243,165,0,0,-1,591.124,0,0,0,0,0,0,0,0,0
0.416389,243,165,0,0,-1,618.011,0,0,0,0,0,0,0,0,0
0.418001,243,165,0,0,-1,644.253,0,0,0,0,0,0,0,0,0
0.419722,243,165,0,0,-1,559.173,0,0,0,0,0,0,0,0,0
0.421406,243,165,0,0,-1,600.807,0,0,0,0,0,0,0,0,0
0.423166,243,165,0,0,-1,578.738,0,0,0,0,0,0,0,0,0
0.424773,243,165,0,0,-1,584.208,0,0,0,0,0,0,0,0,0
0.426397,243,165,0,0,-1,645.383,0,0,0,0,0,0,0,0,0
0.428189,243,165,0,0,-1,561.106,0,0,0,0,0,0,0,0,0
0.429826,243,165,0,0,-1,587.517,0,0,0,0,0,0,0,0,0
0.43154,243,165,0,0,-1,606.144,0,0,0,0,0,0,0,0,0
0.433226,243,165,0,0,-1,599.586,0,0,0,0,0,0,0,0,0
0.434869,243,165,0,0,-1,582.154,0,0,0,0,0,0,0,0,0
0.436547,243,165,0,0,-1,618.767,0,0,0,0,0,0,0,0,0
